stop_id,stop_code,stop_name,stop_lat,stop_lon
2,"s309","Belokranjska","46.542928","15.654167"
3,"s302","Belokranjska","46.542973","15.654071"
4,"s509","Belokranjska ulica 10","46.543812","15.652580"
5,"s214","Betnavska - Focheva","46.546179","15.639123"
6,"s215","Betnavska - Focheva","46.546786","15.639532"
7,"s182","Betnavska - Goriška","46.540409","15.637128"
8,"s183","Betnavska - Goriška","46.540358","15.637294"
9,"s184","Betnavska - Knafelčeva","46.538211","15.635715"
10,"s185","Betnavska - Knafelčeva","46.537849","15.635186"
11,"s212","Betnavska - Metelkova","46.543233","15.638539"
12,"s213","Betnavska - Metelkova","46.542351","15.638437"
13,"s216","Betnavska - Žolgarjeva","46.550416","15.640798"
14,"s217","Betnavska - Žolgarjeva","46.550335","15.641006"
15,"s245","Betnavski grad","46.529618","15.637662"
16,"s246","Betnavski grad","46.529503","15.637461"
17,"s152","Bezjakova","46.541783","15.590336"
18,"s70","Bresternica","46.566056","15.571947"
21,"s64","Bresternica - odcep","46.567723","15.584451"
22,"s65","Bresternica - odcep","46.567599","15.585017"
23,"s66","Bresternica - rondo","46.566738","15.578279"
24,"s67","Bresternica - rondo","46.566701","15.578660"
25,"s358","Brezje","46.536185","15.688982"
26,"s359","Brezje","46.536515","15.688387"
27,"s274","Celestrina","46.555618","15.710577"
28,"s275","Celestrina","46.556035","15.711244"
29,"s51","Cesta v Rošpoh 115","46.584169","15.615231"
30,"s52","Cesta v Rošpoh 115","46.583887","15.615325"
31,"s49","Cesta v Rošpoh 65","46.578990","15.613401"
32,"s50","Cesta v Rošpoh 65","46.579404","15.613768"
33,"s362","Cesta XIV. divizije","46.544261","15.677811"
34,"s363","Cesta XIV. divizije","46.544875","15.676494"
35,"s62","Čolnarna","46.568112","15.592015"
36,"s63","Čolnarna","46.568481","15.593426"
37,"s307","Črnogorska ul. 23","46.545622","15.656589"
38,"s507","Črnogorska ul. 23","46.545675","15.656455"
39,"s372","Čufarjeva - dom st. obč.","46.554577","15.672089"
40,"s373","Čufarjeva - dom st. obč.","46.554516","15.673517"
41,"s370","Čufarjeva - TVD Partizan","46.555136","15.665524"
42,"s371","Čufarjeva - TVD Partizan","46.554756","15.666739"
43,"s352","Dogoše","46.514680","15.712493"
44,"s345","Dogoše - Gasilski dom","46.523351","15.703928"
45,"s346","Dogoše - Gasilski dom","46.523742","15.703949"
46,"s350","Dogoše - polje","46.517439","15.708728"
47,"s351","Dogoše - polje","46.516745","15.709547"
48,"s389","Dogoška - vrtec","46.528314","15.675737"
49,"s388","Dogoška - vrtec","46.528173","15.674948"
50,"s106","Dravograjska","46.549182","15.621149"
51,"s111","Dravograjska","46.549942","15.621805"
52,"s105","Dravograjska - Poljane","46.552491","15.623049"
53,"s112","Dravograjska - Poljane","46.553664","15.624005"
54,"s109","Dravograjska - Qlandia","46.546461","15.620128"
55,"s113","Dravograjska - Sokolska","46.557368","15.625449"
56,"s104","Dravograjska - Sokolska","46.557532","15.624998"
57,"s356","Dupleška - Jarčeva","46.532164","15.694953"
58,"s357","Dupleška - Jarčeva","46.532254","15.694671"
59,"s342","Dupleška - kanal","46.525898","15.700396"
60,"s343","Dupleška - kanal","46.526052","15.701311"
61,"s344","Dupleška - kanal","46.526891","15.700068"
62,"s360","Dupleška - Tezenska","46.541026","15.683486"
63,"s361","Dupleška - Tezenska","46.541218","15.683419"
64,"s347","Dupleška cesta 239","46.523932","15.704634"
65,"s348","Dupleška cesta 245","46.523413","15.705232"
66,"s349","Dupleška cesta 255","46.521559","15.705513"
67,"s207","Dvorana Tabor - Gorkega","46.549492","15.637156"
68,"s208","Dvorana Tabor - Koresova","46.549854","15.636699"
69,"s209","Dvorana Tabor - Koresova","46.549942","15.636722"
70,"s200","Engelsova - Šarhova","46.549346","15.629735"
71,"s201","Engelsova - Šarhova","46.548919","15.628775"
72,"s203","Engelsova - vojašnica","46.546828","15.624751"
73,"s204","Engelsova - vojašnica","46.547295","15.625758"
74,"s132","Erjavčeva","46.556453","15.610227"
75,"s133","Erjavčeva","46.555365","15.614664"
77,"s135","Erjavčeva - ZD","46.554633","15.616999"
84,"s9","Glavni trg - Vetrinjska","46.557531","15.647755"
85,"s10","Glavni trg - Židovska","46.557378","15.646796"
86,"s210","Gorkega - Preradovičeva","46.551120","15.639839"
87,"s211","Gorkega - Preradovičeva","46.550584","15.639119"
88,"s22","Gosposvetska - rondo","46.562867","15.629161"
89,"s23","Gosposvetska - rondo","46.562801","15.628989"
90,"s29","Gosposvetska - STŠ","46.560622","15.640389"
91,"s30","Gosposvetska - STŠ","46.560691","15.640481"
92,"s25","Gosposvetska - Turnerjeva","46.562366","15.631178"
93,"s26","Gosposvetska - Turnerjeva","46.561857","15.633332"
94,"s27","Gosposvetska - Vrbanska","46.561371","15.636204"
95,"s28","Gosposvetska - Vrbanska","46.561235","15.636851"
96,"s298","Greenwich","46.554504","15.659352"
97,"s299","Greenwich","46.554659","15.659808"
100,"s290","Grušova","46.559594","15.747312"
101,"s288","Grušova 1","46.557164","15.745885"
102,"s289","Grušova 1","46.557053","15.745686"
105,"s43","Kamnica - hipodrom","46.573981","15.623151"
106,"s44","Kamnica - hipodrom","46.574209","15.622491"
107,"s58","Kamnica - križišče","46.571145","15.612604"
108,"s59","Kamnica - križišče","46.571064","15.614065"
110,"s57","Kamnica - pošta","46.572481","15.612652"
111,"s45","Kamnica - šola","46.573562","15.615887"
112,"s46","Kamnica - šola","46.573495","15.617011"
113,"s47","Kamnica - trgovina","46.573793","15.612425"
114,"s48","Kamnica - trgovina","46.574042","15.612542"
115,"s174","Kardeljeva - Borštnikova","46.534392","15.630204"
116,"s173","Kardeljeva - Borštnikova","46.533681","15.629585"
117,"s188","Kardeljeva - Knafelčeva","46.538595","15.631963"
118,"s189","Kardeljeva - Knafelčeva","46.538949","15.632643"
119,"s177","Kardeljeva cesta 49","46.543928","15.634391"
120,"s316","Kavčičeva","46.526876","15.672361"
121,"s317","Kavčičeva","46.527143","15.672036"
124,"s285","Knezar","46.554317","15.736326"
125,"s582","Knezar","46.554546","15.736294"
126,"s139","Limbuška obvoznica","46.555541","15.604321"
127,"s409","Koroška - FERI","46.558804","15.637914"
130,"s18","Koroška - trgovina","46.559166","15.635392"
131,"s19","Koroška - trgovina","46.559293","15.635065"
132,"s410","Koroška - tržnica","46.558211","15.641240"
133,"s20","Koroška vrata","46.560205","15.630971"
134,"s21","Koroška vrata","46.560616","15.629859"
135,"s85","Koš. dol - Pod vinogradi","46.572788","15.659274"
136,"s88","Košaki - stiskalnica","46.578054","15.666996"
137,"s87","Košaški dol","46.576146","15.666803"
138,"s86","Košaški dol - V zavoju","46.574861","15.662986"
139,"s267","Kovačič","46.556493","15.691105"
140,"s268","Kovačič","46.556431","15.691654"
141,"s598","Kraljeviča Marka ulica","46.558651","15.664065"
142,"s599","Kraljeviča Marka ulica","46.558764","15.663918"
143,"s40","Krekova","46.562017","15.643599"
144,"s37","Krekova - občina","46.562065","15.649602"
145,"s284","Kronaveter","46.556601","15.733079"
146,"s581","Kronaveter","46.556547","15.733096"
147,"s390","MČ Tezno","46.528448","15.679731"
148,"s391","MČ Tezno","46.527904","15.679820"
149,"s392","MČ Tezno","46.527886","15.681957"
150,"s149","Lackova - Mlada lipa","46.540574","15.606969"
151,"s150","Lackova - Na gorco","46.545640","15.600098"
152,"s143","Lackova - Stara lipa","46.538493","15.611431"
153,"s142","Lackova - Stara lipa","46.538361","15.612191"
154,"s122","Lesarska šola","46.562266","15.601788"
155,"s153","Lesjakova 1","46.538239","15.588906"
156,"s154","Lesjakova 2","46.537262","15.591816"
157,"s127","Limbuš","46.553939","15.582293"
158,"s527","Limbuš","46.553985","15.582052"
159,"s128","Limbuš - pošta","46.550344","15.588568"
160,"s129","Limbuš - pošta","46.550618","15.588177"
161,"s120","Limbuška - Lesarska","46.556424","15.602803"
162,"s121","Limbuška - Lesarska","46.556424","15.604549"
163,"s114","Limbuška - Pekrska","46.556562","15.620111"
164,"s115","Limbuška - Pekrska","46.556416","15.620624"
165,"s124","Limbuška - rondo","46.554951","15.583604"
